,Position,Company,State
112,Marketing Officer,IKANO HANDEL SDN BHD (IKEA Batu Kawan),Selangor
113,ASSISTANT FACTORY PRODUCTION CONTROLLER,NLC General Pest Control Sdn Bhd,Kuala Lumpur
114,Service Desk Analyst,Ikano Handel Sdn. Bhd. (IKEA Damansara),Ipoh
115,"Part-time Food Assistant (Kitchen, Cashier, Hostess, Bussers), Renewable Contract",RB (Health) Malaysia Sdn Bhd,Klang/Port Klang
116,Marketing/ Branch Development Executive,LEE & KOH ADVOCATES & SOLICITORS,Muar
117,Goods Flow Team Manager,LEXIS CHEMICAL SDN. BHD.,Kuala Lumpur
118,Business Development Executive,Ecolab Sdn Bhd,Penang - Others
119,eCommerce Business Development Executive,Niro Ceramic (M) Sdn Bhd,"Johor Bahru, Petaling Jaya"
120,SENIOR ACCOUNT EXECUTIVE,Pactera EDGE Technologies Singapore Pte Ltd,Petaling Jaya
121,Sales Admin Support,AIA Bhd.,Company Confidential
122,Supply Chain Assistant (6 months contract),Cytopeutics Sdn Bhd,"Johor Bahru, Kota Tinggi, Pontian"
123,Franchise & Business Development – Executive,Vision Plus Entertainment Marketing Sdn Bhd,Kuala Lumpur
124,Translator (Fulltime),IFME Works Pte Ltd,Kuala Lumpur
125,Branch Executive (6 Months contract) - JB,OTC Cosmetic Industries Sdn Bhd,Selangor
126,CLINICAL RESEARCH ASSOCIATE (Fresh Graduates Also Can Apply),Bakat Industri Sdn Bhd,Selangor
127,Human Resource and Admin Assistant cum Receptionist,UCrest Berhad,Shah Alam/Subang
128,Electrical Site Supervisor,TELE-PAPER (M) SDN BHD,"Downtown Core, Central"
129,Production Executive,Nurraysa Global Sdn Bhd,Johor Bahru
130,AUTOMATION ENGINEER,Hong Leong Bank Berhad,Cyberjaya
131,Senior Accounts Executive/ Assistant Finance Manager / Finance Manager,Hong Leong Bank Berhad,Kuala Lumpur
132,Quality Assurance & Control Manager / Asst QC Manager,AVNET ASIA PTE LTD,"Others, Singapore"
133,Purchasing Manager,Hong Leong Bank Berhad,Selangor - Others
134,Executive Credit Administration (PJ City),QR Management Sdn Bhd,"Kedah, Penang, Selangor"
135,"Executive, Process Transformation & Compliance",Greenpeace Southeast Asia Berhad,Petaling Jaya
136,Program Executive,Jabil Circuit Sdn Bhd,Selangor
137,"Executive, Operation & Customer Service (Desa Cemerlang Branch, Johor)",Agensi Pekerjaan Reeracoen Malaysia Sdn Bhd,Kuantan
138,Accounts Executive,SERBA DINAMIK SDN BHD,Selangor
139,Assistant Digital Fundraising Officer (12 months contract basis),Duramitt Sdn Bhd,Kuala Lumpur
140,Assistant Manufacturing Manager (PCBA),Kensington Trust Labuan Limited,Penang
141,Admin Executive [Ref: 49023] (CM),KLK OLEO,Johor
142,BUSINESS DEVELOPMENT EXECUTIVE,Orientus Industry Sdn Bhd,Petaling Jaya
143,Operation Manager,Reckitt Benckiser (M) Sdn Bhd (Hygiene),Kuala Lumpur
144,Corporate Secretarial – Executive,ExxonMobil Malaysia,Bayan Lepas
145,Product Stewardship & Regulatory Affair Specialist,EVERSPARK INDUSTRIES SDN BHD,Kulim
146,E-COMMERCE MANAGER,Motorola Solutions Malaysia Sdn Bhd,Shah Alam/Subang
147,R&D ASSISTANT (CONTRACT),Vesuvius Malaysia Sdn Bhd,Kulim
148,Quality Assurance & Data Integrity Assurance Framework (DIAF) Engineer,Federal Express Services (M) Sdn Bhd,Sabah
149,HR & ADMIN EXECUTIVE,Roche Services & Solutions Operations APAC,Selangor
150,Financial Analyst (Treasury),Khind Holdings Berhad,Johor Bahru
151,Team Leader- Production,OctoPlus Media Global Limited.,Johor
152,Compensation & Incentive Design Specialist,ITRAMAS Manufacturing  Sdn Bhd,Kuala Lumpur
153,Compliance Analyst (Travel & Expenses),JCT INDUSTRIES GROUP SDN. BHD.,Johor
154,Sales Executive - Penang,Sension Engineering Sdn Bhd,Penang
155,"Specialist / Executive, Order Management",Mudajaya Corporation Berhad,Klang/Port Klang
156,"Account Manager –Digital Marketing, Greater China",Grownce Sdn Bhd,Kuala Lumpur
157,"Manager, Service",AmGeneral Insurance Berhad,Selangor
158,Business Development Consultant,EMCO Executives Sdn Bhd,Penang
159,Operations Manager,HENGYUAN REFINING COMPANY  BERHAD,Company Confidential
160,Sales Admin / Marketing Executive,TBS & Co.,Selangor
161,HR & ADMIN OFFICER,Wearnes Quest Sdn Bhd,Kuala Lumpur
162,Manager Construction,Toyoshima Corporation (M) Sdn Bhd,Company Confidential
163,Marketing Executive,AIA Bhd.,Selangor
164,Children Enrichment Program Teacher,Alliance Bank Malaysia Berhad,Company Confidential
165,"Executive, Portfolio Analyst",Institute of Enterprise Risk Practitioners,Ipoh
166,Human Resource Executive,Hempel Manufacturing (Malaysia) Sdn Bhd,Perai
167,Internship for Engineering Students 2021,Commerz Trade Services Sdn Bhd,Kedah
168,Audit cum Tax Junior,Duramitt Sdn Bhd,Johor Bahru
169,Assistant Finance Manager,Taylor's University,Selangor
170,PRODUCTION PLANNER,Envirograft (M) Sdn Bhd.,Company Confidential
171,Branch Executive (6 Months contract) - Ipoh,Vesuvius Malaysia Sdn Bhd,Selangor
172,Branch Manager - Sitiawan,Dreamland Corporation (M) Sdn Bhd,Johor Bahru
173,Head of Business Development,JC CREATIVE RESOURCES,Kuala Lumpur
174,Warehouse Supervisor,China Communications Construction (ECRL) Sdn. Bhd.,"Kuala Lumpur, Selangor"
175,Trade Finance Document Analyst,Nirvana Asia Group,Port Dickson
176,Finance Manager,Dreamland Corporation (M) Sdn Bhd,Kuala Lumpur
177,Education Counselor,M-Fischer Tech  Sdn Bhd,Selangor
178,Import Cum Purchaser,Esco Micro (M) Sdn Bhd,Perai
179,Production Technician (Electronic PCBA),Select Group Pte Ltd,Ipoh
180,Production Planner,United Straits M & E Sdn Bhd,Perak
181,SALES COORDINATOR,Sterrific,Petaling Jaya
182,SALES ADMIN,KEY CONSULT (PG) SDN. BHD.,Kluang
183,Planning Engineer,Global Enterprise International Malaysia Sdn Bhd (Member of Singtel Group),Kuala Lumpur
184,Site Supervisor (Melaka),Omniraise Sdn Bhd,Kulim
185,ACCOUNTANT,Omniraise Sdn Bhd,Selangor
186,SHIPPING OFFICER,EXCEL FIRE ENGINEERING SDN BHD,Johor Bahru
187,Customer Service Inside Sales,Regent International School,Company Confidential
