,Position,Company,State
676,Accounts & HR Executive,MELILEA (M) SDN BHD,Petaling Jaya
677,Admin Executive,ASIA POLY INDUSTRIAL SDN. BHD.,Bayan Lepas
678,Supplier Quality Engineer,Taylor's University,North-East
679,"Senior Executive, Group Digital Marketing (Social Media)",RED ARCHITECT & ENGINEER SDN. BHD.,"Johor, Kedah, Kuala Lumpur, Melaka, Negeri Sembilan, Penang, Perak, Selangor"
680,Senior HR Executive (Training),S8 AUTO,Selangor
681,HR Executive,SKYLINK PACIFIC SOLUTIONS SDN. BHD.,Alor Setar
682,"Technologist, Data Analytics Engineering",INTI International University,Shah Alam/Subang
683,Sales Executives,Jora Jobs,"Johor, Kuala Lumpur, Negeri Sembilan, Selangor"
684,Senior Executive Group Strategy,Tomypak Flexible Packaging Sdn Bhd,Miri
685,Senior/Staff - IT Engineer (Test Department),Eadess Sdn Bhd,Perai
686,Leasing Administration Executive,INNOV8TIF SOLUTIONS SDN. BHD.,Selangor
687,Sales & Marketing Manager (Based in KL),ABITEX DESIGNS (M) SDN BHD,"Johor, Kedah, Kuala Lumpur, Kelantan, Melaka, Negeri Sembilan, Penang, Pahang, Perak, Perlis, Sabah, Selangor, Sarawak, Terengganu"
688,Personal Assistant 私人助理,GRAB,Shah Alam/Subang
689,Data Entry Clerk,Jora Jobs,Bayan Lepas
690,Senior Digital Marketing Manager,Engtex Ductile Iron Pipe Industry Sdn Bhd,Kuala Lumpur
691,Security Manager,WORLD MARKETING GROUP PTE LTD,Shah Alam/Subang
692,Production Manufacturing,Stone Forest IT Pte Ltd,Selangor
693,Production Manufacturing,EMCO Executives Sdn Bhd,Selangor
694,Digital Marketing Specialist (Brand Building/Content Marketing),Rubber Leisure Products Sdn Bhd,Cyberjaya
695,Manager Shareholder Services (6 months Contract),COOPER CAPITAL SDN. BHD.,Johor
696,Senior Production Planner,Jora Jobs,Kajang/Bangi/Serdang
697,Client Services Executive,ROSENIDA AZLINA HAFIDZ & CO.,Selangor
698,ADMIN CLERK,HYUNDAI ENGINEERING MALAYSIA SDN BHD (MMCC),Kuala Lumpur
699,Office Administration Executive,GADANG WORKS SDN. BHD.,Cyberjaya
700,Account Executive cum Admin Executive,Capita Global Sdn Bhd,Kuala Lumpur
701,Leasing - Manager,Tan Ya Advisory,Kuala Lumpur
702,Business Administrator,LAUREATE SYSTEM SOLUTIONS SDN BHD,Johor Bahru
703,RECEPTIONIST,Electrolux Home Appliances S/B (Center of Excellence Asia Pacific (CoE APAC)),Penang - Others
704,"Sales Executive (Bandar Sri Damansara,KL)",Jora Jobs,Kuala Lumpur
705,Recruiter,Agensi Pekerjaan Reeracoen Malaysia Sdn Bhd,Kuching
706,ADMIN EXECUTIVE cum SECRETARY,GATTI (M) SDN. BHD.,Melaka
707,HR EXECUTIVE,Hikvision Singapore Pte Ltd,Kuala Lumpur
708,CHEMIST,Jora Jobs,Sabah
709,Executive - Campus Central,VSTECS BERHAD,Penang
710,Senior Draughtsman / Assistant Architect,ViVANGAS SDN. BHD.,Kuala Lumpur
711,Human Resources Internship,Sime Darby Industrial,Penang
712,"Treasury/Corporate Finance, Senior Executive",CTOS Data Systems Sdn Bhd,Kajang/Bangi/Serdang
713,O2C Specialist,同心堂中医诊所 Tong Xin Tang Healthcare International Sdn Bhd,Penang
714,Lecturer - Information Technology (Head of Program),Donaldson Filtration (Malaysia) Sdn. Bhd.,Kuala Lumpur
715,CUSTOMER SERVICE,FUTURE D SDN. BHD.,Kuala Lumpur
716,Sales Manager,Lim Huck Aik & Co.,Penang
717,Machine Operator,MCT Asia (Penang) Sdn Bhd,Kuala Lumpur
718,Retail Store Manager,BIS CHEMICALS SDN. BHD.,Kuala Lumpur
719,Marketing Intern,HENGYUAN REFINING COMPANY  BERHAD,Kuala Lumpur
720,Retail Sales Consultant,Teafe (M) Sdn Bhd,Kuala Lumpur
721,"Sales Lead, GrabFood (Negeri Sembilan)",RH Letrik Sdn. Bhd.,Kuala Lumpur
722,"ALL-FACULTY INTERNSHIP in Mid Valley, Kuala Lumpur",ESCATEC Electronics Sdn Bhd,Kuala Lumpur
723,Marketing Executive,Dytan Health On-line Sdn Bhd,Selangor
724,Project Management and Customer Service Executive,iCar Asia (Carlist.my),Selangor
725,Senior Systems Engineer - (SF00012-249),LODGING PARTNER TRAVEL SDN. BHD.,Kuala Lumpur
726,Inside Sales Specialist,LODGING PARTNER TRAVEL SDN. BHD.,Kuala Lumpur
727,Production Planner,Khai Lien Silk Screen Suppliers (M) Sdn Bhd,Penang
728,ACCOUNT EXECUTIVE,Jabil Sdn Bhd (Global Business Center),Labuan
729,Sales Admin Coordinator,Park Avenue Hospitality,Kuala Lumpur
730,CONVEYANCING CLERK,Bank Negara Malaysia,Kuala Lumpur
731,PTW Coordinator Commissioning (Urgent Hiring),Archtron Research & Development Sdn Bhd,Selangor
732,Sales and Marketing Executive,Greenpro Resources Group of Companies,Selangor
733,Associate Business Development,Shell Business Operations Kuala Lumpur,Penang
734,Internship for Accounting Students,Electrolux Home Appliances S/B (Center of Excellence Asia Pacific (CoE APAC)),Kuala Lumpur
735,Programmer,Kossan Rubber Industries Berhad,"Kuala Lumpur, Selangor"
736,Account Receivables-Assistant Manager,Toray Plastics (M) Sdn Bhd,Kuala Lumpur
737,新加坡(辅助)执法警员,Jora Jobs,Johor
738,CUSTOMER SERVICE (BASE IN PJ),QUBE APPS SOLUTIONS SDN. BHD.,Melaka
739,"Purchasing Executive (49033), Seri Kembangan,RM4K (CJ)",HTC Global Services MSC Sdn Bhd,Klang/Port Klang
740,SALES EXECUTIVE,dTb Creation Sdn Bhd,Selangor
741,Senior Business Development Executive,Godell Group of Company,Kuala Lumpur
742,Administration Intern,TNG Digital Sdn Bhd,Petaling Jaya
743,Inside Sales Assistant - Fresh Graduate / Junior (1 year contract),INITIA INTERNATIONAL SDN. BHD.,Company Confidential
744,Regional Sales and Service Engineer,RHB Banking Group,Ampang
745,Sales Representative - Sibu,Star Rolling Shutter Sdn. Bhd.,Kuala Lumpur
746,Accounts Assistant,Infineon Technologies (Malaysia) Sdn Bhd,Negeri Sembilan
747,Marketing Executive,CLL Systems Sdn Bhd,Selangor
748,Sr. Business Intelligence Analyst,Armstrong Auto Parts Sdn Bhd,Company Confidential
749,Corporate Sales Executive,Jora Jobs,Petaling Jaya
750,Admin Clerical,Senheng Electric (KL) Sdn Bhd,Johor Bahru
751,Inside Technical Sales Specialist,Bridgestone Tyre Sales (M) Sdn Bhd,"Penang, Petaling Jaya"
752,Assistant Warehouse Manager,RHB Banking Group,Subang Jaya
753,Internship for Finance Student 2021,WEI TAT FEEDMILL SDN. BHD.,Selangor
754,HUMAN RESOURCE SENIOR EXECUTIVE,Nirvana Asia Group,Negeri Sembilan
755,PROJECT ENGINEER,Malayan Food Venture,Kuala Lumpur
756,Quality Assurance Engineer,JTE Recruit Pte Ltd,Selangor
757,IT Executive,SWIFT INTEGRATED LOGISTICS SDN. BHD.,East
758,Customer Care Executive,Charles & Keith (Singapore) Pte Ltd,Singapore
759,Lodging Partner Associate I (Korean Language Support),REN HR CONSULTING SDN BHD,"Kuala Lumpur, Selangor"
760,Lodging Partner Associate I (Korean Language Support),Kah Motor Company Sdn Bhd,Melaka
761,Account And Admin Executive,RHB Banking Group,Kuala Lumpur
762,Programmer Analyst III,Global Staffing Solutions Pte Ltd,Selangor
763,Guest Relations Officer / Executive (Front Office),IRDECO F N B SDN. BHD.,Kuantan
764,"Executive, Data Centre Management Analyst | Infrastructure Technology Department",Lima Bintang Logistics Sdn Bhd,Melaka
765,Project Admin,ICF International Pte Ltd,Kajang/Bangi/Serdang
766,GENERAL MANAGER,JAC Recruitment Malaysia,Kuala Lumpur
767,Finance & Accounting Lead (Thai Language),Integrated Health Plans (Malaysia) Sdn Bhd,Kuala Lumpur
768,Accounts Payable-Assistant Manager,BEAUGATES CONCEPT SDN. BHD.,Kuala Lumpur
769,Junior Executive Marketing,SSR / SSSB / TCR,Selangor
770,HR Assistant Section Manager,GN ReSound (Malaysia) Sdn Bhd,Company Confidential
771,Operations / Office Manager,Master Materials. Contracting Sdn Bhd,Singapore
772,Sales Consultant,Seng Choon Hardware (M) Sdn Bhd,Selangor
773,Campaign Analyst,FERTITRADE (M) SDN. BHD.,Selangor
774,Multimedia Designer cum Animation 多媒体动画设计师,JB GIFT & SOUVENIR (M) SDN BHD,"Selangor, Kuala Lumpur"
775,Project  Management Engineer ( LNG),Pantech Steel Industries Sdn Bhd,Myanmar
776,Project Manager,Agensi Pekerjaan Line Recruits Sdn. Bhd.,Selangor
777,Salon Supervisor,B2B Commerce (M) Sdn Bhd,Petaling Jaya
778,Futures Broker's Representative - RHB IB Teluk Intan Branch,Synergio Global Sdn Bhd,Kuala Lumpur
779,Sales & Marketing Assistant,Econframe Marketing Sdn Bhd,Sarawak
780,Senior Manager Resource Planning,TADIKA SUCI RIA (KEPONG),Kuala Lumpur
781,Network Security Engineer (Malaysian Only),Sem Matic Sdn Bhd,Cheras
782,Internship for Human Resource Management Students,Ambition Group Malaysia Sdn Bhd,Shah Alam/Subang
783,Field Service Technician,Elabram Systems Sdn Bhd,Cheras
784,Logistic Executive,Malaysian Institute of Accountants,George Town
785,"Executive, Demand and Supply Planner (LSCM)",LLH SOLUTIONS SDN BHD,Bayan Lepas
786,Futures Broker's Representative - RHB IB Taiping Branch,The Chartered Institute Of Management Accountants,Selangor
787,QC Lab Assistant,Citigroup Malaysia,Port Dickson
788,Secretary,Citigroup Malaysia,Kuala Lumpur
789,SALES REPRESENTATIVE,Citigroup Malaysia,Selangor
790,Warehouse / Customer Service Admin (UP $2.4K / West / Ofc Hr / 1Yr Exp / AWS),Citigroup Malaysia,Penang
791,Marketing Executive,Citigroup Malaysia,Kuala Lumpur
792,LOGISTICS ASSISTANT,Citigroup Malaysia,Kuala Lumpur
793,Video Editor (短视频剪辑师),Ideals Recruitment Pte Ltd,Kuala Lumpur
794,Personal Assistant,Singapore International School of Bangkok,Kuala Lumpur
795,"Sales Consultant/Assistant Sales Manager, PF (Setia City Mall Sales Centre)",FRD PERFORMANCE MOTORSPORT (M) SDN BHD,Selangor
796,Sheetmetal Technician | Aircraft Maintenance | Aviation | Yearly Contract,Neolife International Sdn Bhd,Penang
797,HOSTESS,FRD PERFORMANCE MOTORSPORT (M) SDN BHD,"Changi, East, Clementi, West, Others, Central"
798,COMPLIANCE OFFICER,Hartamas Real Estate Sdn Bhd,Kuala Lumpur
799,Production Manager,G & W Building Materials Sdn Bhd,Puchong
800,SALES ADMIN (REF: YY),INNOV8TIF SOLUTIONS SDN. BHD.,Kuala Lumpur
801,Customer Service Officer (GL Team),LIFESTYLE DOMAIN SDN. BHD.,Selangor
802,Sales Executive,Taylor's University,Selangor
803,EKSEKUTIF SUMBER MANUSIA,Iconic Lab Sdn. Bhd.,Klang/Port Klang
804,Order Management Coordinator (Customer Service ),MA HUP SENG ENGINEERING SDN BHD,Penang
805,Sales & Marketing Executive,Global Power Services Sdn Bhd,Selangor
806,Indoor Sales Coordinator,PipBox Events Sdn Bhd,Kuala Lumpur
807,MARKETING EXECUTIVE,Keysight Technologies Malaysia Sdn. Bhd.,Kuala Lumpur
808,ACCOUNT EXECUTIVE,Knight Frank Malaysia Sdn Bhd,Kuala Lumpur
809,Marketing Manager,FRD PERFORMANCE MOTORSPORT (M) SDN BHD,Selangor
810,PRODUCTION PLANNER,Infineon Technologies (Malaysia) Sdn Bhd,Kuala Lumpur
811,Business Manager (Digital Supply Chain & Managed Data Services),Ink Marketing Sdn Bhd,Central
812,Sustainability Analyst,MSTS ASIA Sdn Bhd,Teluk Intan
813,Production Admin,PALAQUIN (M) SDN BHD,Selangor
814,Kindergarten Teacher 幼教班老师,27 MARKETING SDN. BHD.,Melaka
815,Procurement Executive,Esmo Asia Pte Ltd,Petaling Jaya
816,Senior Platform Engineer,Citigroup Malaysia,Melaka
817,ACCOUNTANT,TNG Digital Sdn Bhd,Labuan
818,IT Recruiter,MCM Petcare (M) Sdn Bhd,Klang/Port Klang
819,EXECUTIVE - MEMBERSHIP,Web Multisoft International Sdn Bhd,Selangor
820,Human Resource Officer,Linkk Busway Systems (M) Sdn Bhd,Taiping
821,Senior Specialist - Corporate Accounting (6 months FTC),WM ENGINEERING CONSTRUCTION SDN. BHD.,Klang/Port Klang
822,MYS Citibank Berhad - Collections Officer - (20240427),Jora Jobs,Kuala Lumpur
823,MYS Citibank Berhad - Collections Officer - (20240432),GRAND PACIFIC F&B SDN. BHD.,"Kedah, Kuala Lumpur, Penang, Perak"
824,MYS Citibank Berhad - Collections Officer - (20240428),UNITAR International University,"West, Singapore"
825,MYS Citibank Berhad - Collections Officer - (20239226),Jora Jobs,Butterworth
826,MYS Citibank Berhad - Collections Officer - (20240433),Phitomas Sdn Bhd,"Paya Lebar, East"
827,MYS Citibank Berhad - Collections Officer - (20240430),MATRIX TALENT HUMAN RESOURCES SDN. BHD.,Kuala Lumpur
828,Quality Engineer (Precision / 5D / Serangoon North / Up to $3.5k / SPC / FMEA),Brownland,George Town
829,Teachers,MOL ACCESSPORTAL SDN. BHD,Shah Alam/Subang
830,Human Resource Manager,Realtek Singapore Private Limited,Central
831,Digital Marketing (B2B),GREEN-i MULTIMEDIA,Alor Setar
832,Warehouse Manager (Penang),Ideal Quality Sdn Bhd,Johor - Others
833,Multimedia Executive,MHL Industries (Malaysia) Sdn Bhd,East
834,Operation Executive (Precast - QS),Agromaster Fertilizer Sdn Bhd,Kuala Lumpur
835,Software Engineering Intern,WOWSHOP SDN BHD,Petaling Jaya
836,Security Guard,Digi Telecommunications Sdn. Bhd.,Puchong
837,Executive - Business Planning,A&T BUSINESS SOLUTION SERVICES,Kuala Lumpur
838,Sales Consultant,WOWSHOP SDN BHD,Johor Bahru
839,Store Assistant,9 HEALTH SDN BHD,"Selangor, Kuala Lumpur"
840,Sales cum Technical Assistant,IDS Medical Systems (M) Sdn Bhd,Shah Alam/Subang
841,Social Media and Content Executive (Mandarin Speaking),MIRS Innovate Pte Ltd,Selangor
842,Sales Incentive Compensation Analyst (Contract),Agromaster Fertilizer Sdn Bhd,Johor Bahru
843,Assistant Marketing Manager (Melaka),Kaisar Maxim Sdn Bhd,Klang/Port Klang
844,Risk Manager,Credit Bureau Malaysia Sdn Bhd,Selangor
845,Senior Manager - Procurement Regional Logistics,Siang Pharmacy Sdn Bhd,Petaling Jaya
846,Account & Admin Assistant,Jora Jobs,Kuala Lumpur
847,Digital Sales & Commercial Transformation Specialist (DSCTS),Sunway Berhad,Klang/Port Klang
848,Business Development Executive,Agensi Pekerjaan GMRecruitment Sdn Bhd,Kuala Lumpur
849,Graphic Designer,Malaysia Expatriate Services Centre Sdn Bhd,Johor
850,Maintenance Supervisor,Press Metal Bintulu Sdn Bhd,Kuala Lumpur
851,Field Application and Service Engineer,University of Reading Malaysia (JB),Company Confidential
852,MYS Citibank Berhad - Collections Officer - (20240429),Alliance Bank Malaysia Berhad,Selangor
853,"Assistant Manager, Finance",Scania (Malaysia) Sdn Bhd,Kajang/Bangi/Serdang
854,ADMIN EXECUTIVE CUM PERSONAL ASSISTANT TO MD,Evolve Realty Sdn Bhd,Kuala Lumpur
855,Accounting Executive- Kuala Lumpur,Davex (Malaysia) Sdn Bhd,Butterworth
856,Logistic Assistant - 5-Day Work Week in Beranang,Gross Synergy Sdn Bhd,Selangor
857,Admin Clerk,Ant Internet Sdn Bhd,Kuala Lumpur
858,Maintenance Technician,Aubella (MM2H) Sdn Bhd,Kuala Lumpur
859,CHEF,Jora Jobs,Kuala Lumpur
860,Business Development Executive,Robert Bosch Power Tools Sdn Bhd,Kuala Lumpur
861,Admin Clerk,MYM Technology (M) Sdn Bhd,Kuala Lumpur
